0,Obama,counter,Trump (2016),Trump (2024)
,70.6,785,33.1,
,70.1,786,30.9,
,69.4,787,20.9,
,66.8,788,26.9,
,68.0,789,20.7,
,69.6,790,9.2,
,70.2,791,19.4,
,70.3,792,5.1,
,73.4,793,11.4,
,73.2,794,5.6,
,74.2,795,6.1,
,74.4,796,1.5,
,75.1,797,-1.5,
,74.6,798,7.7,
,74.2,799,9.0,
,73.0,800,15.8,
,73.5,801,11.9,
,75.9,802,15.6,
,75.4,803,13.8,
,74.6,804,8.8,
,74.3,805,11.3,
,74.9,806,9.6,
,76.2,807,17.3,
,75.5,808,17.1,
,73.7,809,21.1,
,73.6,810,22.8,
,71.7,811,21.6,
,68.7,812,25.3,
,70.0,813,22.5,
,72.3,814,23.3,
,70.2,815,26.6,
,70.1,816,24.3,
,72.7,817,20.5,
,72.0,818,23.2,
,71.0,819,23.2,
,71.2,820,24.9,
,69.8,821,26.7,
,70.4,822,26.1,
,72.7,823,29.4,
,73.9,824,28.2,
,74.3,825,24.6,
,73.6,826,25.2,
,74.6,827,26.3,
,74.2,828,25.4,
,72.8,829,26.9,
,70.0,830,29.0,
,70.1,831,29.0,
,69.4,832,26.4,
,68.2,833,24.2,
,68.6,834,25.6,
,68.1,835,26.1,
,66.2,836,30.1,
,65.3,837,28.7,
,64.5,838,30.8,
,62.1,839,29.8,
,60.9,840,30.1,
,63.4,841,31.7,
,63.5,842,33.7,
,63.8,843,33.4,
,64.0,844,34.0,
,63.7,845,34.5,
,65.5,846,35.6,
,63.1,847,37.5,
,62.7,848,37.0,
,58.7,849,40.6,
,58.7,850,42.3,
,59.6,851,41.2,
,63.3,852,40.5,
,63.3,853,32.2,
,64.6,854,33.9,
,62.6,855,35.0,
,64.4,856,37.6,
,63.3,857,37.1,
,65.1,858,37.2,
,66.8,859,36.4,
,67.0,860,37.3,
,68.6,861,37.9,
,68.4,862,34.3,
,64.6,863,35.8,
,65.8,864,32.5,
,63.2,865,34.4,
,63.9,866,36.5,
,65.4,867,37.2,
,65.1,868,37.8,
,69.2,869,40.0,
,69.6,870,38.5,
,70.6,871,39.6,
,69.8,872,38.8,
,68.2,873,40.2,
,68.0,874,38.9,
,66.6,875,40.8,
,66.6,876,42.1,
,65.8,877,41.6,
,68.5,878,42.0,
,68.1,879,43.2,
,69.4,880,43.4,
,70.5,881,44.2,
,70.9,882,42.5,
,69.2,883,41.6,
,67.7,884,42.6,
,66.2,885,41.7,
,66.2,886,43.5,
,68.9,887,42.9,
,72.1,888,44.0,
,72.0,889,45.1,
,71.3,890,45.6,
,70.8,891,46.5,
,69.5,892,47.5,
,72.7,893,47.5,
,73.1,894,48.0,
,74.0,895,46.8,
,74.1,896,48.8,
,74.2,897,48.5,
,74.6,898,48.5,
,74.4,899,48.9,
,74.4,900,49.2,
,74.6,901,48.6,
,75.8,902,49.1,
,76.1,903,49.6,
,76.1,904,51.1,
,75.5,905,51.6,
,75.5,906,53.2,
,74.1,907,53.4,
,75.2,908,54.4,
,75.2,909,54.1,
,75.0,910,55.3,
,75.2,911,57.7,
,73.8,912,52.1,
,74.7,913,50.9,
,74.5,914,46.7,
,74.3,915,49.6,
,77.9,916,47.0,
,78.6,917,47.1,
,77.5,918,49.0,
,78.0,919,49.7,
,78.4,920,49.1,
,81.3,921,47.8,
,82.0,922,46.1,
,81.5,923,44.5,
,81.2,924,46.0,
,81.4,925,42.5,
,81.3,926,42.9,
,81.3,927,45.2,
,80.9,928,47.6,
,79.0,929,46.9,
,78.0,930,48.1,
,79.7,931,48.8,
,78.9,932,47.4,
,79.4,933,50.1,
,79.5,934,48.0,
,80.2,935,50.5,
,81.5,936,51.8,
,81.4,937,53.1,
,80.8,938,55.6,
,79.0,939,54.6,
,77.9,940,53.6,
,77.9,941,53.4,
,77.4,942,53.4,
,78.8,943,50.9,
,80.7,944,51.6,
,81.4,945,51.3,
,81.0,946,52.0,
,78.0,947,52.6,
,78.1,948,49.7,
,75.5,949,49.3,
,75.0,950,44.0,
,75.5,951,45.7,
,75.3,952,44.0,
,75.3,953,,
,75.3,954,,
,75.4,955,,
,77.3,956,,
,75.6,957,,
,76.0,958,,
,77.4,959,,
,73.2,960,,
,71.1,961,,
,71.4,962,,
,71.4,963,,
,70.7,964,,
,68.3,965,,
,68.1,966,,
,68.9,967,,
,72.2,968,,
,72.4,969,,
,72.8,970,,
,75.0,971,,
,74.6,972,,
,73.7,973,,
,75.1,974,,
,75.8,975,,
,75.9,976,,
,75.0,977,,
,74.7,978,,
,75.0,979,,
,75.6,980,,
,76.1,981,,
,76.2,982,,
,77.3,983,,
,77.4,984,,
,76.3,985,,
,75.6,986,,
,77.6,987,,
,79.7,988,,
,78.3,989,,
,79.3,990,,
,77.6,991,,
,77.2,992,,
,76.3,993,,
,76.1,994,,
,74.2,995,,
,77.1,996,,
,81.6,997,,
,81.2,998,,
,82.1,999,,
,81.6,1000,,
,81.0,1001,,
,81.4,1002,,
,82.8,1003,,
,82.8,1004,,
,82.6,1005,,
,82.8,1006,,
,82.9,1007,,
,83.9,1008,,
,84.5,1009,,
