date,close
1964-05-01,0.7763
1964-06-01,0.7709
1964-07-01,0.7689
1964-08-01,0.7641
1964-09-01,0.7590
1964-10-01,0.7565
1964-11-01,0.7528
1964-12-01,0.7507
1965-01-01,0.7479
1965-02-01,0.7431
1965-03-01,0.7404
1965-04-01,0.7377
1965-05-01,0.7358
1965-06-01,0.7320
1965-07-01,0.7286
1965-08-01,0.7249
1965-09-01,0.7217
1965-10-01,0.7154
1965-11-01,0.7122
1965-12-01,0.7070
1966-01-01,0.7044
1966-02-01,0.7007
1966-03-01,0.6978
1966-04-01,0.6934
1966-05-01,0.6906
1966-06-01,0.6893
1966-07-01,0.6845
1966-08-01,0.6853
1966-09-01,0.6819
1966-10-01,0.6815
1966-11-01,0.6791
1966-12-01,0.6766
1967-01-01,0.6730
1967-02-01,0.6693
1967-03-01,0.6630
1967-04-01,0.6631
1967-05-01,0.6601
1967-06-01,0.6563
1967-07-01,0.6532
1967-08-01,0.6506
1967-09-01,0.6458
1967-10-01,0.6417
1967-11-01,0.6389
1967-12-01,0.6357
1968-01-01,0.7219
1968-02-01,0.7186
1968-03-01,0.7136
1968-04-01,0.7111
1968-05-01,0.7085
1968-06-01,0.7030
1968-07-01,0.6997
1968-08-01,0.6947
1968-09-01,0.6912
1968-10-01,0.6866
1968-11-01,0.6821
1968-12-01,0.6783
1969-01-01,0.7009
1969-02-01,0.6985
1969-03-01,0.6978
1969-04-01,0.6977
1969-05-01,0.6924
1969-06-01,0.6905
1969-07-01,0.6923
1969-08-01,0.6865
1969-09-01,0.6851
1969-10-01,0.6825
1969-11-01,0.6770
1969-12-01,0.6752
1970-01-01,0.5876
1970-02-01,0.5859
1970-03-01,0.5847
1970-04-01,0.5798
1970-05-01,0.5761
1970-06-01,0.5737
1970-07-01,0.5706
1970-08-01,0.5665
1970-09-01,0.5610
1970-10-01,0.5585
1970-11-01,0.5561
1970-12-01,0.5521
1971-01-01,0.5683
1971-02-01,0.5760
1971-03-01,0.5745
1971-04-01,0.5742
1971-05-01,0.5909
1971-06-01,0.5814
1971-07-01,0.5889
1971-08-01,0.6111
1971-09-01,0.5971
1971-10-01,0.6029
1971-11-01,0.6046
1971-12-01,0.6122
1972-01-01,0.6394
1972-02-01,0.6673
1972-03-01,0.6664
1972-04-01,0.6721
1972-05-01,0.7447
1972-06-01,0.8402
1972-07-01,0.8838
1972-08-01,0.8956
1972-09-01,0.8710
1972-10-01,0.8542
1972-11-01,0.8229
1972-12-01,0.8295
1973-01-01,0.8359
1973-02-01,0.9481
1973-03-01,1.0678
1973-04-01,1.1365
1973-05-01,1.2827
1973-06-01,1.4954
1973-07-01,1.4721
1973-08-01,1.3064
1973-09-01,1.2518
1973-10-01,1.2108
1973-11-01,1.1478
1973-12-01,1.2788
1974-01-01,1.5366
1974-02-01,1.7787
1974-03-01,1.9743
1974-04-01,1.9907
1974-05-01,1.8713
1974-06-01,1.7547
1974-07-01,1.6302
1974-08-01,1.7425
1974-09-01,1.6946
1974-10-01,1.7675
1974-11-01,2.0147
1974-12-01,2.0091
1975-01-01,1.9388
1975-02-01,1.9531
1975-03-01,1.9243
1975-04-01,1.8288
1975-05-01,1.8044
1975-06-01,1.7387
1975-07-01,1.7516
1975-08-01,1.7179
1975-09-01,1.5104
1975-10-01,1.4974
1975-11-01,1.4795
1975-12-01,1.4400
1976-01-01,1.3630
1976-02-01,1.3465
1976-03-01,1.3487
1976-04-01,1.2941
1976-05-01,1.2770
1976-06-01,1.2563
1976-07-01,1.1739
1976-08-01,1.0876
1976-09-01,1.1286
1976-10-01,1.1409
1976-11-01,1.2723
1976-12-01,1.3011
1977-01-01,1.2733
1977-02-01,1.3096
1977-03-01,1.4112
1977-04-01,1.4084
1977-05-01,1.3772
1977-06-01,1.3154
1977-07-01,1.3254
1977-08-01,1.3307
1977-09-01,1.3683
1977-10-01,1.4407
1977-11-01,1.4602
1977-12-01,1.4307
1978-01-01,1.5355
1978-02-01,1.5634
1978-03-01,1.6043
1978-04-01,1.5149
1978-05-01,1.5167
1978-06-01,1.5641
1978-07-01,1.5993
1978-08-01,1.7386
1978-09-01,1.7741
1978-10-01,1.8858
1978-11-01,1.6922
1978-12-01,1.7050
1979-01-01,1.8547
1979-02-01,2.0041
1979-03-01,1.9584
1979-04-01,1.9265
1979-05-01,2.0697
1979-06-01,2.2212
1979-07-01,2.3263
1979-08-01,2.3613
1979-09-01,2.7775
1979-10-01,3.0071
1979-11-01,3.0152
1979-12-01,3.4711
1980-01-01,5.1317
1980-02-01,4.9915
1980-03-01,4.1056
1980-04-01,3.8505
1980-05-01,3.8281
1980-06-01,4.4435
1980-07-01,4.7027
1980-08-01,4.5394
1980-09-01,4.8423
1980-10-01,4.6993
1980-11-01,4.3970
1980-12-01,4.1973
1981-01-01,3.9454
1981-02-01,3.5049
1981-03-01,3.4888
1981-04-01,3.4229
1981-05-01,3.3009
1981-06-01,3.1599
1981-07-01,2.7888
1981-08-01,2.7933
1981-09-01,3.0100
1981-10-01,2.9638
1981-11-01,2.7751
1981-12-01,2.7353
1982-01-01,2.5457
1982-02-01,2.4603
1982-03-01,2.1665
1982-04-01,2.2857
1982-05-01,2.1561
1982-06-01,2.0247
1982-07-01,2.1761
1982-08-01,2.3218
1982-09-01,2.7528
1982-10-01,2.6343
1982-11-01,2.5664
1982-12-01,2.7261
1983-01-01,2.9504
1983-02-01,2.9449
1983-03-01,2.5013
1983-04-01,2.5526
1983-05-01,2.5559
1983-06-01,2.3964
1983-07-01,2.4318
1983-08-01,2.3759
1983-09-01,2.3315
1983-10-01,2.2053
1983-11-01,2.1284
1983-12-01,2.1536
1984-01-01,2.0351
1984-02-01,2.1125
1984-03-01,2.1337
1984-04-01,2.0477
1984-05-01,2.0191
1984-06-01,2.0039
1984-07-01,1.8332
1984-08-01,1.8358
1984-09-01,1.7900
1984-10-01,1.7833
1984-11-01,1.7759
1984-12-01,1.6581
1985-01-01,1.5597
1985-02-01,1.5302
1985-03-01,1.5507
1985-04-01,1.6497
1985-05-01,1.5911
1985-06-01,1.5742
1985-07-01,1.5684
1985-08-01,1.6150
1985-09-01,1.5645
1985-10-01,1.5708
1985-11-01,1.5621
1985-12-01,1.5236
1986-01-01,1.6432
1986-02-01,1.6038
1986-03-01,1.6171
1986-04-01,1.5825
1986-05-01,1.5755
1986-06-01,1.5612
1986-07-01,1.5755
1986-08-01,1.6889
1986-09-01,1.8584
1986-10-01,1.8671
1986-11-01,1.7341
1986-12-01,1.6821
1987-01-01,1.7461
1987-02-01,1.6982
1987-03-01,1.7394
1987-04-01,1.8469
1987-05-01,1.9072
